audience	error_bottom	error_top	game_date	game_id	game_time	hit_bottom	hit_top	picher_lose_id	picher_save_id	picher_win_id	score_bottom	score_top	start_time	starting_picher_bottom_id	starting_picher_top_id	status	team_bottom_id	team_bottom_name	team_top_id	team_top_name	umpire_first	umpire_plate	umpire_second	umpire_third
4,690人	0	0	2021-03-20	npb2021000085	2時間48分	8	4	npb1300029	npb1200082	npb1900062	2	1	13:00	npb1300029	npb1900062	finish	npb7	西武	npb2	ヤクルト	山口	名幸	石山	森
9,936人	0	0	2021-03-20	npb2021000088	2時間36分	5	5	npb1300058	npb1300077	npb1500138	2	1	13:00	npb1300058	npb1700130	finish	npb12	ソフトバンク	npb6	広島	須山	丹波	嶋田	白井
4,994人	0	0	2021-03-20	npb2021000083	2時間40分	5	8	npb1500113	npb1300084	npb700069	3	6	14:00	npb700069	npb1800028	finish	npb1	巨人	npb376	楽天	橋本	小林	岩下	深谷
4,896人	0	0	2021-03-20	npb2021000084	2時間58分	6	11	npb1300031	npb1900150	npb1800057	1	3	14:00	npb1600141	npb1300031	finish	npb3	DeNA	npb9	ロッテ	村山	木内	秋村	市川
9,969人	0	0	2021-03-20	npb2021000086	2時間53分	3	15	npb1600106		npb1500110	0	11	14:00	npb1500110	npb1600106	finish	npb4	中日	npb8	日本ハム	原	川口	津川	山本貴
9,992人	2	1	2021-03-20	npb2021000087	2時間36分	5	5	npb2000101	npb1600013	npb1300070	2	1	14:00	npb1900087	npb1500090	finish	npb5	阪神	npb11	オリックス	福家	土山	芦原	眞鍋
2021-03-21	npb2021000090	cancel																						
2021-03-21	npb2021000091	finish	4,635人	1	0	3時間12分	12	10	npb1900025	npb1400183	npb700056	8	6	13:00	npb1900024	npb1600131	npb7	西武	npb2	ヤクルト	石山	森	名幸	山口
2021-03-21	npb2021000092	finish	9,946人	1	2	3時間11分	16	4	npb1700029		npb1500074	9	2	13:00	npb1700029	npb1500074	npb4	中日	npb8	日本ハム	津川	山本貴	川口	原
2021-03-21	npb2021000093	finish	9,879人	0	1	2時間29分	3	5				1	1	13:00	npb1900147	npb1600150	npb11	オリックス	npb5	阪神	土山	眞鍋	吉本	梅木
2021-03-21	npb2021000089	finish	4,991人	0	0	3時間9分	11	4	npb2000121		npb1100038	8	4	14:00	npb2000121	npb1100038	npb1	巨人	npb376	楽天	岩下	深谷	橋本	柳田
2021-03-21	npb2021000094	finish	15,968人	1	0	2時間59分	4	7	npb1900106	npb2000060	npb1100081	2	1	14:00	npb20204	npb1100081	npb6	広島	npb12	ソフトバンク	嶋田	白井	丹波	須山
